ind,nest,chick,treatment,survival,brood,hatch,sex,year,cond,asynchrony,july,age,weight,tarsus,headbill,culmen,tc,tarsusratio,runt2,runt3,runt4,runt,c,y
39b13,39,blue,1,1,3,3,m,2013,d,4,19,12,346,NA,NA,NA,NA,NA,1,1,0,1,b,13
39b13,39,blue,1,1,3,3,m,2013,d,4,19,7,155,NA,NA,NA,NA,NA,1,1,0,1,b,13
39b13,39,blue,1,1,3,3,m,2013,d,4,19,2,52,NA,NA,NA,NA,NA,1,1,0,1,b,13
39g13,39,green,1,1,3,1,m,2013,d,0,15,31,595,NA,NA,NA,NA,NA,0,0,0,0,g,13
39g13,39,green,1,1,3,1,m,2013,d,0,15,24,561,NA,NA,NA,NA,NA,0,0,0,0,g,13
39g13,39,green,1,1,3,1,m,2013,d,0,15,16,400,NA,NA,NA,NA,NA,0,0,0,0,g,13
39g13,39,green,1,1,3,1,m,2013,d,0,15,11,242,NA,NA,NA,NA,NA,0,0,0,0,g,13
39g13,39,green,1,1,3,1,m,2013,d,0,15,6,101,NA,NA,NA,NA,NA,0,0,0,0,g,13
4b13,4,blue,1,1,4,1,m,2013,d,0,12,27,592,NA,NA,NA,NA,NA,0,0,0,0,b,13
4b13,4,blue,1,1,4,1,m,2013,d,0,12,22,520,NA,NA,NA,NA,NA,0,0,0,0,b,13
4b13,4,blue,1,1,4,1,m,2013,d,0,12,19,501,NA,NA,NA,NA,NA,0,0,0,0,b,13
4b13,4,blue,1,1,4,1,m,2013,d,0,12,16,406,NA,NA,NA,NA,NA,0,0,0,0,b,13
4b13,4,blue,1,1,4,1,m,2013,d,0,12,11,250,NA,NA,NA,NA,NA,0,0,0,0,b,13
4b13,4,blue,1,1,4,1,m,2013,d,0,12,7,123,NA,NA,NA,NA,NA,0,0,0,0,b,13
4bk13,4,black,1,1,4,3,f,2013,d,2,14,25,831,NA,NA,NA,NA,NA,1,1,0,0,bk,13
4bk13,4,black,1,1,4,3,f,2013,d,2,14,20,734,NA,NA,NA,NA,NA,1,1,0,0,bk,13
4bk13,4,black,1,1,4,3,f,2013,d,2,14,17,606,NA,NA,NA,NA,NA,1,1,0,0,bk,13
4bk13,4,black,1,1,4,3,f,2013,d,2,14,14,470,NA,NA,NA,NA,NA,1,1,0,0,bk,13
4bk13,4,black,1,1,4,3,f,2013,d,2,14,9,230,NA,NA,NA,NA,NA,1,1,0,0,bk,13
4bk13,4,black,1,1,4,3,f,2013,d,2,14,5,104,NA,NA,NA,NA,NA,1,1,0,0,bk,13
4g13,4,green,1,1,4,2,f,2013,d,1,13,26,810,NA,NA,NA,NA,NA,1,0,0,0,g,13
4g13,4,green,1,1,4,2,f,2013,d,1,13,21,691,NA,NA,NA,NA,NA,1,0,0,0,g,13
4g13,4,green,1,1,4,2,f,2013,d,1,13,18,629,NA,NA,NA,NA,NA,1,0,0,0,g,13
4g13,4,green,1,1,4,2,f,2013,d,1,13,15,482,NA,NA,NA,NA,NA,1,0,0,0,g,13
4g13,4,green,1,1,4,2,f,2013,d,1,13,10,258,NA,NA,NA,NA,NA,1,0,0,0,g,13
4g13,4,green,1,1,4,2,f,2013,d,1,13,6,116,NA,NA,NA,NA,NA,1,0,0,0,g,13
4r13,4,red,1,1,4,4,m,2013,d,3,15,24,564,NA,NA,NA,NA,NA,1,1,1,1,r,13
4r13,4,red,1,1,4,4,m,2013,d,3,15,19,472,NA,NA,NA,NA,NA,1,1,1,1,r,13
4r13,4,red,1,1,4,4,m,2013,d,3,15,16,408,NA,NA,NA,NA,NA,1,1,1,1,r,13
4r13,4,red,1,1,4,4,m,2013,d,3,15,13,305,NA,NA,NA,NA,NA,1,1,1,1,r,13
4r13,4,red,1,1,4,4,m,2013,d,3,15,8,139,NA,NA,NA,NA,NA,1,1,1,1,r,13
4r13,4,red,1,1,4,4,m,2013,d,3,15,4,62,NA,NA,NA,NA,NA,1,1,1,1,r,13
67b13,67,blue,1,1,4,2,f,2013,d,1,15,26,840,NA,NA,NA,NA,NA,1,0,0,0,b,13
67b13,67,blue,1,1,4,2,f,2013,d,1,15,21,785,NA,NA,NA,NA,NA,1,0,0,0,b,13
67b13,67,blue,1,1,4,2,f,2013,d,1,15,17,560,NA,NA,NA,NA,NA,1,0,0,0,b,13
67b13,67,blue,1,1,4,2,f,2013,d,1,15,12,298,NA,NA,NA,NA,NA,1,0,0,0,b,13
67b13,67,blue,1,1,4,2,f,2013,d,1,15,7,130,NA,NA,NA,NA,NA,1,0,0,0,b,13
67b13,67,blue,1,1,4,2,f,2013,d,1,15,4,86,NA,NA,NA,NA,NA,1,0,0,0,b,13
67bk13,67,black,1,1,4,3,m,2013,d,3,17,25,571,NA,NA,NA,NA,NA,1,1,0,0,bk,13
67bk13,67,black,1,1,4,3,m,2013,d,3,17,19,543,NA,NA,NA,NA,NA,1,1,0,0,bk,13
67bk13,67,black,1,1,4,3,m,2013,d,3,17,15,385,NA,NA,NA,NA,NA,1,1,0,0,bk,13
67bk13,67,black,1,1,4,3,m,2013,d,3,17,10,225,NA,NA,NA,NA,NA,1,1,0,0,bk,13
67bk13,67,black,1,1,4,3,m,2013,d,3,17,5,76,NA,NA,NA,NA,NA,1,1,0,0,bk,13
67bk13,67,black,1,1,4,3,m,2013,d,3,17,2,50,NA,NA,NA,NA,NA,1,1,0,0,bk,13
67r13,67,red,1,1,4,1,m,2013,d,0,14,27,602,NA,NA,NA,NA,NA,0,0,0,0,r,13
67r13,67,red,1,1,4,1,m,2013,d,0,14,22,585,NA,NA,NA,NA,NA,0,0,0,0,r,13
67r13,67,red,1,1,4,1,m,2013,d,0,14,19,450,NA,NA,NA,NA,NA,0,0,0,0,r,13
67r13,67,red,1,1,4,1,m,2013,d,0,14,13,280,NA,NA,NA,NA,NA,0,0,0,0,r,13
