"","ind","nest","chick","sex","year","age","weight","hatch_day"
"220","7bk13",7,"black","f",2013,24,878,2013-07-14
"221","7bk13",7,"black","f",2013,18,638,2013-07-14
"222","7bk13",7,"black","f",2013,13,396,2013-07-14
"223","7bk13",7,"black","f",2013,9,219,2013-07-14
"224","7bk13",7,"black","f",2013,5,101,2013-07-14
"225","7g13",7,"green","m",2013,34,653,2013-07-10
"226","7g13",7,"green","m",2013,28,658,2013-07-10
"227","7g13",7,"green","m",2013,22,572,2013-07-10
"228","7g13",7,"green","m",2013,17,403,2013-07-10
"229","7g13",7,"green","m",2013,13,293,2013-07-10
"230","7g13",7,"green","m",2013,9,164,2013-07-10
"231","7r13",7,"red","m",2013,34,650,2013-07-10
"232","7r13",7,"red","m",2013,28,660,2013-07-10
"233","7r13",7,"red","m",2013,22,584,2013-07-10
"234","7r13",7,"red","m",2013,17,428,2013-07-10
"235","7r13",7,"red","m",2013,13,298,2013-07-10
"236","7r13",7,"red","m",2013,9,178,2013-07-10
"237","85g13",85,"green","m",2013,23,490,2013-07-22
"238","85g13",85,"green","m",2013,17,435,2013-07-22
"239","85g13",85,"green","m",2013,12,295,2013-07-22
"240","85g13",85,"green","m",2013,7,123,2013-07-22
"241","85r13",85,"red","m",2013,25,553,2013-07-20
"242","85r13",85,"red","m",2013,19,535,2013-07-20
"243","85r13",85,"red","m",2013,14,385,2013-07-20
"244","85r13",85,"red","m",2013,9,179,2013-07-20
"245","8b13",8,"blue","m",2013,27,636,2013-07-16
"246","8b13",8,"blue","m",2013,21,635,2013-07-16
"247","8b13",8,"blue","m",2013,13,383,2013-07-16
"248","8b13",8,"blue","m",2013,6,135,2013-07-16
"249","8bk13",8,"black","f",2013,26,832,2013-07-17
"250","8bk13",8,"black","f",2013,20,785,2013-07-17
"251","8bk13",8,"black","f",2013,12,364,2013-07-17
"252","8bk13",8,"black","f",2013,5,96,2013-07-17
"253","8g13",8,"green","m",2013,29,630,2013-07-14
"254","8g13",8,"green","m",2013,23,628,2013-07-14
"255","8g13",8,"green","m",2013,15,425,2013-07-14
"256","8g13",8,"green","m",2013,8,182,2013-07-14
"257","8r13",8,"red","f",2013,30,920,2013-07-13
"258","8r13",8,"red","f",2013,24,867,2013-07-13
"259","8r13",8,"red","f",2013,16,550,2013-07-13
"260","8r13",8,"red","f",2013,9,218,2013-07-13
"261","130g15",130,"green","f",2015,5,75,2015-07-13
"262","130g15",130,"green","f",2015,10,210,2015-07-13
"263","130g15",130,"green","f",2015,15,409,2015-07-13
"264","130g15",130,"green","f",2015,21,727,2015-07-13
"265","130g15",130,"green","f",2015,25,872,2015-07-13
"266","130g15",130,"green","f",2015,30,817,2015-07-13
"267","4r15",4,"red","f",2015,2,29,2015-07-11
"268","4r15",4,"red","f",2015,8,97,2015-07-11
"269","4r15",4,"red","f",2015,11,227,2015-07-11
"270","4r15",4,"red","f",2015,16,451,2015-07-11
"271","4r15",4,"red","f",2015,20,626,2015-07-11
"272","4r15",4,"red","f",2015,26,718,2015-07-11
"273","4r15",4,"red","f",2015,30,778,2015-07-11
"274","8r15",8,"red","f",2015,4,51,2015-07-13
"275","8r15",8,"red","f",2015,8,156,2015-07-13
"276","8r15",8,"red","f",2015,15,422,2015-07-13
"277","8r15",8,"red","f",2015,22,708,2015-07-13
"278","8r15",8,"red","f",2015,25,848,2015-07-13
"279","8r15",8,"red","f",2015,30,891,2015-07-13
"280","30r15",30,"red","f",2015,4,58,2015-07-16
"281","30r15",30,"red","f",2015,11,233,2015-07-16
"282","30r15",30,"red","f",2015,15,390,2015-07-16
"283","30r15",30,"red","f",2015,20,559,2015-07-16
"284","30r15",30,"red","f",2015,26,753,2015-07-16
"285","30r15",30,"red","f",2015,30,864,2015-07-16
"286","1r15",1,"red","f",2015,7,98,2015-07-15
"287","1r15",1,"red","f",2015,12,263,2015-07-15
"288","1r15",1,"red","f",2015,16,417,2015-07-15
"289","1r15",1,"red","f",2015,21,605,2015-07-15
"290","1r15",1,"red","f",2015,25,645,2015-07-15
"291","1r15",1,"red","f",2015,33,863,2015-07-15
"292","33r15",33,"red","f",2015,1,33,2015-07-13
"293","33r15",33,"red","f",2015,5,88,2015-07-13
"294","33r15",33,"red","f",2015,10,237,2015-07-13
